----------------
 Time    Tetrad
----------------
 0:00    3: 2: 2
 0:10   12: 9: 8
 0:20   15:12:10
 0:30    6: 5: 4
 0:40    9: 8: 6
 0:50    3: 3: 2
 1:00   10: 9: 6
 1:10    7: 6: 4
 1:20   18:15:10
 1:30   15:12: 8
 1:40    4: 3: 2
 1:50    6: 4: 3
 2:00   15:10:18
 2:10    9: 6: 5
 2:20   21:14:12
 2:30   15:10: 9
 2:40   20:15:12
 2:50   16:12: 9
 3:00    5: 4: 3
 3:10    9: 8: 6
 3:20    4: 4: 3
 3:30   16:15:12
 3:40   20:18:15
 3:50    8: 7: 6
 4:00   28:24:21
 4:10   12:10: 9
 4:20   20:16:15
 4:30    4: 3: 3
----------------
