*no_scale_specified
5 2 5  v___2_n__3_class_1_class_2_ Raga Sarvasri, Warao tritonic: South America
5 5 2  v___2_n__3_class_1_class_2_ Sansagari: Japan
5 4 5 5  v___2_n__4_class_1_class_3_ Four out of 19
10 10 10 1  v___2_n__4_class_1_class_3_ Genus quartum
13 6 6 6  v___2_n__4_class_1_class_3_ Genus decimum
4 4 4 4 3  v___2_n__5_class_1_class_4_ Five out of 19
4 4 3 4 4  v___2_n__5_class_1_class_4_ Quasi-equal Pentatonic
4 4 5 4 4  v___2_n__5_class_1_class_4_ Quasi-equal Pentatonic
5 5 4 5 5  v___2_n__5_class_1_class_4_ Quasi-equal Pentatonic
5 5 6 5 5  v___2_n__5_class_1_class_4_ Quasi-equal Pentatonic
6 6 5 6 6  v___2_n__5_class_1_class_4_ Quasi-equal Pentatonic
6 6 7 6 6  v___2_n__5_class_1_class_4_ Quasi-equal Pentatonic
7 7 6 7 7  v___2_n__5_class_1_class_4_ Quasi-equal Pentatonic
7 7 8 7 7  v___2_n__5_class_1_class_4_ Quasi-equal Pentatonic
1 1 2 1 2  v___2_n__5_class_2_class_3_ Thai mode 1
1 2 1 2 1  v___2_n__5_class_2_class_3_ Thai mode 2
2 1 1 2 1  v___2_n__5_class_2_class_3_ Thai mode 6
2 3 2 2 3  v___2_n__5_class_2_class_3_ Ritusen, Ritsu (Gagaku): Japan, Zhi, Zheng: China, Raga Devakriya, Durga, Suddha Saveri, Arabhi, Scottish Pentatonic, Ujo: Korea, Major complement
2 2 3 2 3  v___2_n__5_class_2_class_3_ Major Pentatonic, Ryosen: Japan, Man Jue, Gong: China, Raga Bhopali (Bhup), Mohana, Deskar, Bilahari, Kokila, Peruvian Pentatonic 1, Ghana pent.2
2 3 2 3 2  v___2_n__5_class_2_class_3_ Yo: Japan, Suspended Pentatonic, Raga Madhyamavati, Madhmat Sarang, Egyptian, Rui Bin, Jin Yu, Qing Yu: China
3 2 2 3 2  v___2_n__5_class_2_class_3_ Minor Pentatonic, Raga Dhani (Suddha Dhanyasi), Abheri, Udhayaravi Chandrika, Qing Shang, Gu Xian, Jia Zhong, Yu: China, Pyongjo-kyemyonjo: Korea, Minyo: Japan, Peruvian Pentatonic 2, Blues Pentatonic
3 2 3 2 2  v___2_n__5_class_2_class_3_ Raga Malkauns (Malakosh), Raga Hindola, Man Gong, Quan Ming, Yi Ze, Jiao: China
3 3 2 3 2  v___2_n__5_class_2_class_3_ Blackwood Pentatonic
3 3 4 3 4  v___2_n__5_class_2_class_3_ Seventeen-tone Major Pentatonic
4 3 3 4 3  v___2_n__5_class_2_class_3_ Seventeen-tone Minor Pentatonic
3 4 3 4 3  v___2_n__5_class_2_class_3_ Seventeen-tone Suspended Pentatonic
3 3 5 3 5  v___2_n__5_class_2_class_3_ Nineteen-tone Major Pentatonic
5 3 3 5 3  v___2_n__5_class_2_class_3_ Nineteen-tone Minor Pentatonic
3 5 3 5 3  v___2_n__5_class_2_class_3_ Nineteen-tone Suspended Pentatonic
5 4 4 5 4  v___2_n__5_class_2_class_3_ Septimal Minor Pentatonic
9 2 2 9 2  v___2_n__5_class_2_class_3_ de Vries 5-tone
3 3 3 3 3 4  v___2_n__6_class_1_class_5_ Yasser's Hexad
6 6 6 1 6 6  v___2_n__6_class_1_class_5_ Genus octavum
3 3 3 3 3 3 2  v___2_n__7_class_1_class_6_ Major quasi-equal Heptatonic
3 2 3 3 3 3 3  v___2_n__7_class_1_class_6_ Minor quasi-equal Heptatonic
4 3 3 3 3 3 3  v___2_n__7_class_1_class_6_ Major quasi-equal Heptatonic
3 3 3 4 3 3 3  v___2_n__7_class_1_class_6_ Minor quasi-equal Heptatonic
5 5 5 5 5 5 6  v___2_n__7_class_1_class_6_ Equal Diatonic Mixolydian
5 5 5 5 5 6 5  v___2_n__7_class_1_class_6_ Equal Diatonic Lydian
5 5 5 5 6 5 5  v___2_n__7_class_1_class_6_ Equal Diatonic Phrygian
5 5 5 6 5 5 5  v___2_n__7_class_1_class_6_ Equal Diatonic Dorian
5 5 6 5 5 5 5  v___2_n__7_class_1_class_6_ Equal Diatonic Hypolydian
5 6 5 5 5 5 5  v___2_n__7_class_1_class_6_ Equal Diatonic Hypophrygian
6 5 5 5 5 5 5  v___2_n__7_class_1_class_6_ Equal Diatonic Hypodorian
2 1 1 2 1 2 1  v___2_n__7_class_2_class_5_ Sethares Neutral
3 4 3 3 4 3 4  v___2_n__7_class_2_class_5_ Neutral Mixolydian
4 3 3 4 3 4 3  v___2_n__7_class_2_class_5_ Neutral Lydian
3 3 4 3 4 3 4  v___2_n__7_class_2_class_5_ Neutral Phrygian
3 4 3 4 3 4 3  v___2_n__7_class_2_class_5_ Mohajira, Neutral Dorian
4 3 4 3 4 3 3  v___2_n__7_class_2_class_5_ Neutral Hypolydian
3 4 3 4 3 3 4  v___2_n__7_class_2_class_5_ Neutral Hypophrygian
4 3 4 3 3 4 3  v___2_n__7_class_2_class_5_ Neutral Hypodorian
4 5 4 4 5 4 5  v___2_n__7_class_2_class_5_ Neutral Mixolydian
5 4 4 5 4 5 4  v___2_n__7_class_2_class_5_ Neutral Lydian
4 4 5 4 5 4 5  v___2_n__7_class_2_class_5_ Neutral Phrygian
4 5 4 5 4 5 4  v___2_n__7_class_2_class_5_ Neutral Dorian
5 4 5 4 5 4 4  v___2_n__7_class_2_class_5_ Neutral Hypolydian
4 5 4 5 4 4 5  v___2_n__7_class_2_class_5_ Neutral Hypophrygian
5 4 5 4 4 5 4  v___2_n__7_class_2_class_5_ Neutral Hypodorian
1 2 2 1 2 2 2  v___2_n__7_class_3_class_4_ G.Mixolydian, G.Hyperdorian, M.Hypophrygian, M.Locrian, Pien chih: China
2 2 1 2 2 2 1  v___2_n__7_class_3_class_4_ G.Lydian, M.Ionian, M.Hypolydian, Major, Bilaval That, Mela Shankarabharanam, Ghana Heptatonic, Peruvian major, 4th plagal Byzantine, Ararai: Ethiopian, Dastgah Mahur, Dastgah Rast Panjgah
2 1 2 2 2 1 2  v___2_n__7_class_3_class_4_ G.Phrygian, M.Dorian, M.Hypomixolydian, Kafi That, Mela Kharaharapriya, Raga Bageshri, Sriraga, Bhimpalasi, Mischung 5, Eskimo Heptatonic, Yu: China
