"Lower","Upper","Triadic HE","ct","pmax","triad"
60,1090,2.48997926723695,15,0.179132883297307,"16/17/31"
140,50,2.44325724333303,12,0.176549714129802,"10/11/11"
150,1090,2.43920483035704,13,0.152769360078035,"13/14/26"
150,1160,2.4030434724467,12,0.172122671572895,"11/12/23"
50,130,2.40029023215908,12,0.165197308666328,"11/11/12"
50,50,2.39143303070873,11,0.150149066019222,"21/21/22"
1090,770,2.31601160606728,12,0.20564283010955,"8/15/23"
50,220,2.31011750538077,11,0.196608520946922,"7/7/8"
120,1170,2.29752948954063,11,0.154160346871957,"16/17/34"
50,440,2.29664043004723,11,0.190125722445636,"18/19/24"
1050,110,2.28858710746587,11,0.205011155493575,"7/13/14"
100,40,2.28549311461551,12,0.18283535874914,"14/15/15"
40,90,2.27667987124013,12,0.180936728768381,"15/15/16"
1080,710,2.2579139722127,12,0.246866863797011,"7/13/20"
120,1110,2.25660780316443,11,0.180554358965006,"16/17/32"
1160,150,2.25609740345117,11,0.225796390705303,"6/12/13"
1050,40,2.24516622720059,11,0.256565168160189,"7/13/13"
50,730,2.23513120791987,11,0.186239903892414,"11/11/17"
230,50,2.23501224360561,11,0.209788274178442,"16/18/19"
1160,640,2.23090296369846,12,0.221964893441507,"7/14/20"
740,40,2.22634898691138,11,0.195889934540718,"9/14/14"
50,380,2.21921500672659,10,0.220601672621403,"4/4/5"
50,610,2.2174416937742,12,0.235753305668825,"9/9/13"
50,510,2.20149990244384,11,0.203009215054718,"18/19/25"
50,530,2.19985619126276,12,0.269594374962146,"8/8/11"
970,190,2.19789022976994,9,0.157449683521767,"12/21/23"
1090,150,2.19376129741697,10,0.21645030746627,"7/13/14"
50,310,2.17461720188879,10,0.185606969263107,"5/5/6"
1120,40,2.17436110713044,9,0.181957938611191,"13/25/25"
1160,90,2.17415308510085,12,0.190576534910111,"12/24/25"
10,1120,2.173416121912,11,0.180379412171032,"11/11/21"
130,1040,2.16796577513531,10,0.17677898994916,"11/12/22"
980,40,2.15739753603018,10,0.208050292835066,"9/16/16"
180,1150,2.15281615424653,12,0.253996668245752,"9/10/19"
1010,230,2.14932338534026,10,0.201936280386976,"11/20/23"
10,100,2.14272480599694,10,0.179507295571019,"16/16/17"
1150,790,2.13791812751414,10,0.257295903086329,"12/23/36"
50,770,2.13594417494917,10,0.195469898620418,"7/7/11"
50,890,2.12857918622931,9,0.218438840483313,"10/10/17"
50,1010,2.11796090206498,10,0.196502790541321,"6/6/11"
670,440,2.11657637399494,9,0.17802262383529,"11/16/21"
620,40,2.11058431544536,9,0.25974893960997,"9/13/13"
420,40,2.105723799102,11,0.317120873629948,"7/9/9"
1160,210,2.10227119616203,10,0.229870261946772,"4/8/9"
50,820,2.09883597739421,11,0.293127012421061,"8/8/13"
180,980,2.094955307447,10,0.263117646868171,"8/9/16"
1160,680,2.09461815984477,10,0.236919019116573,"12/23/34"
730,790,2.07957779564873,10,0.258425064217378,"8/12/19"
60,1040,2.07790405444941,10,0.345638224450151,"17/18/32"
50,970,2.077353507899,8,0.231135254830653,"9/9/16"
670,120,2.07691758241041,10,0.205910665417751,"10/15/16"
400,40,2.07023063311121,10,0.232778149469638,"11/14/14"
110,0,2.06925498375234,9,0.197234271888079,"15/16/16"
330,50,2.06659191334649,10,0.270489194569699,"16/19/20"
770,890,2.06502615486065,10,0.230859780589099,"13/20/34"
1160,1160,2.06386798843776,9,0.226553793558535,"7/14/27"
670,570,2.05651814289932,9,0.247364796546532,"14/21/29"
1160,460,2.05590531224158,9,0.219265131987795,"7/14/18"
820,340,2.0546364485459,9,0.245328996335928,"12/19/23"
670,810,2.05250690794168,9,0.223725253823676,"8/12/19"
50,640,2.05129858589948,9,0.278045126312954,"18/19/27"
510,40,2.0511065901401,9,0.228039299335015,"11/15/15"
1090,80,2.05100456864352,10,0.234734473550079,"9/17/18"
60,990,2.05069672057743,12,0.253550162324016,"16/17/30"
450,40,2.04740540964891,10,0.238732824017288,"18/23/24"
230,1060,2.04694665490358,9,0.294546547280895,"7/8/15"
740,560,2.04517338799111,10,0.239437357586081,"9/14/19"
1150,1120,2.04489264402096,10,0.278774549059837,"11/21/40"
120,160,2.04244210850834,10,0.212292370030707,"17/18/20"
640,940,2.04120237444365,9,0.20951226994186,"14/20/35"
130,970,2.04098047738695,9,0.227213589747824,"11/12/21"
1160,360,2.03945231073357,9,0.256208167703696,"7/14/17"
800,440,2.03898535812918,10,0.267518371120679,"13/21/27"
1160,1030,2.03502801319953,11,0.297637270505751,"5/10/18"
590,40,2.03399066177034,9,0.301224447604298,"7/10/10"
740,420,2.03358488255509,8,0.221643636195774,"13/20/25"
1160,1090,2.0311631245767,8,0.207209760143054,"7/14/26"
920,40,2.02957691439765,9,0.234739505510192,"7/12/12"
1070,870,2.02595231659167,11,0.226222975586209,"8/15/25"
880,360,2.02294383462175,9,0.25235315349817,"12/20/25"
860,790,2.01749563029929,10,0.226241877440076,"12/20/31"
780,1090,2.0164451954905,8,0.211948449539248,"11/17/32"
650,510,2.01331723133255,10,0.254973050467555,"15/22/29"
1090,30,2.01261845664871,9,0.247345494117792,"9/17/17"
120,990,2.01194793520939,9,0.232176319109472,"12/13/23"
620,110,2.01162405662037,9,0.236631845478488,"12/17/18"
