"Lower(old)","Upper(old)","THE(old)","JIT(old)","Lower(new)","Upper(new)","THE(new)"
20,0,0.000149714024006852,"1/1/1",-2,0,"7.05412988722616e-07"
0,20,0.000395977819527349,"1/1/1",-2,0,"7.05412988722616e-07"
1200,0,0.000255492239650842,"1/2/2",1198,0,0.000242561620198951
0,1200,0.00350453982012953,"1/1/2",-3,1202,0.00345878494540176
20,1190,0.00351144822284719,"1/1/2",17,1192,0.00346120500244273
1200,700,0.00417479183370909,"1/2/3",1202,700,0.00401834430083239
1200,1200,0.0305853130389919,"1/2/4",1201,1199,0.0304371308344252
700,1200,0.0520466984694124,"2/3/6",706,1198,0.0407338793692221
710,500,0.0587619881411213,"2/3/4",705,497,0.0531527624437082
700,0,0.0840224343155381,"2/3/3",703,-3,0.0813516159500647
690,20,0.0938655112019304,"2/3/3",700,3,0.0813564666013889
700,890,0.087075746658389,"2/3/5",701,887,0.0858430846795844
500,390,0.128566808486498,"3/4/5",499,386,0.109669630036789
0,700,0.174578506719468,"2/2/3",-5,704,0.169929711786534
20,690,0.174711970690132,"2/2/3",15,694,0.169959373951981
880,580,0.222549963886526,"3/5/7",881,584,0.195752224808331
500,1200,0.201252709739337,"3/4/8",499,1202,0.199678729963811
390,580,0.248525587375163,"4/5/7",384,584,0.209450441664418
490,700,0.270990700305199,"3/4/6",496,702,0.258238579495058
1190,390,0.268833647078102,"2/4/5",1196,388,0.265836042679753
890,1020,0.306370034502743,"3/5/9",886,1017,0.277640367888065
390,310,0.335167768693355,"4/5/6",387,316,0.31341752153555
890,1200,0.373553449298984,"3/5/10",886,1199,0.325566952045427
700,270,0.37993479498344,"4/6/7",703,266,0.356931201836506
960,440,0.454889270774171,"4/7/9",966,437,0.408472614497952
320,500,0.461808282578484,"5/6/8",319,496,0.4220164342477
890,810,0.457476431406915,"3/5/8",885,815,0.423290978323534
700,1050,0.4323826420628,"4/6/11",701,1050,0.430589493220335
500,960,0.45593878139142,"3/4/7",497,968,0.439087870167509
390,1200,0.458891977831669,"4/5/10",389,1198,0.45110534880223
580,230,0.469692234691696,"5/7/8",583,231,0.453281456560949
310,270,0.574186633702662,"5/6/7",316,268,0.518704492084892
490,10,0.5388967283446,"3/4/4",495,5,0.524097234673296
970,1070,0.538824843702829,"4/7/13",971,1071,0.530929773529731
320,700,0.543419200312283,"5/6/9",316,701,0.533922720487205
820,200,0.58234743705515,"5/8/9",816,202,0.549032970884268
700,700,0.573522384591102,"4/6/9",703,701,0.556451512655453
580,440,0.564338209943634,"5/7/9",582,437,0.560157713465784
880,10,0.568019618217706,"3/5/5",881,8,0.56723931906939
880,310,0.579283367779878,"3/5/6",885,315,0.569895270317978
260,440,0.604821612869997,"6/7/9",264,436,0.572749452417242
580,780,0.628889233109581,"5/7/11",581,784,0.590107455591784
500,200,0.646764923063157,"6/8/9",501,203,0.623611665722962
270,780,0.660782163285627,"6/7/11",266,782,0.635759679848079
380,810,0.660227663834631,"4/5/8",384,814,0.647035439903522
970,620,0.695964975891457,"4/7/10",966,619,0.652054106256069
260,230,0.685867278686267,"6/7/8",264,230,0.659596481009111
0,500,0.680750495727438,"3/3/4",-6,502,0.677150502230669
20,490,0.681503982516651,"3/3/4",14,492,0.677283678623509
700,180,0.735117810753303,"6/9/10",701,185,0.679684208294263
970,930,0.697175166448318,"4/7/12",972,931,0.691722200981326
1020,350,0.73453247611252,"5/9/11",1017,348,0.698690403291426
500,1090,0.741976797561015,"6/8/15",496,1090,0.702028839184483
440,630,0.744644517981066,"7/9/13",438,635,0.703671419175448
260,620,0.730494547338667,"6/7/10",264,619,0.710211815227884
430,190,0.735834678279159,"7/9/10",432,187,0.716586523791691
590,1070,0.748886686028135,"5/7/13",585,1071,0.718604819923842
810,970,0.76736683656421,"5/8/14",814,972,0.720127089141919
1190,270,0.729143223754789,"3/6/7",1202,265,0.722195886496938
970,1200,0.729859332109285,"4/7/14",972,1198,0.724222922362304
780,290,0.790479396428099,"7/11/13",786,288,0.734694545172355
230,390,0.778927000993282,"7/8/10",232,385,0.743368479047566
880,920,0.803399102190566,"6/10/17",886,917,0.753280151701778
880,170,0.787213113825824,"6/10/11",884,165,0.757257458198446
230,550,0.794891149903493,"7/8/11",234,550,0.764151456711704
810,700,0.786457897151204,"5/8/12",811,703,0.767744147293231
1050,540,0.789950824468992,"6/11/15",1052,538,0.780575911814505
1200,970,0.789723784730277,"2/4/7",1199,969,0.784839822425036
1180,980,0.793245377179632,"2/4/7",1187,975,0.785350954813793
1020,500,0.831707920832741,"5/9/12",1017,498,0.788525359886938
230,210,0.810357478236774,"7/8/9",233,205,0.789606731097522
310,1200,0.803693751782305,"5/6/12",311,1203,0.790553899932062
390,160,0.805322902636784,"8/10/11",390,162,0.79542498343416
430,1100,0.829433120249617,"7/9/17",433,1101,0.798263992715667
1020,990,0.853060808429828,"5/9/16",1018,996,0.798829383009777
240,700,0.841850656888117,"7/8/12",236,700,0.800291719699813
620,700,0.836314890739735,"7/10/15",616,703,0.805721675874728
620,320,0.828590599152332,"7/10/12",617,319,0.80796204743654
880,700,0.867428789621331,"6/10/15",882,704,0.81717511678852
70,1060,0.860786855772139,"16/17/31",72,1064,0.819707886977871
780,150,0.830388558311117,"7/11/12",782,149,0.825573588133651
200,350,0.848168295932575,"8/9/11",204,347,0.831552099509608
430,500,0.866880575204491,"7/9/12",435,497,0.831763622132007
1020,1100,0.852916942493279,"5/9/17",1016,1101,0.835310901491702
430,350,0.864325883335241,"7/9/11",435,348,0.837890701665143
700,350,0.867140236524368,"6/9/11",701,346,0.845531708740822
1020,640,0.888879076769682,"5/9/13",1016,640,0.855034396684526
970,780,0.866384071251334,"4/7/11",972,780,0.859888707602212
170,60,0.885602854103622,"19/21/22",170,63,0.861265073621507
930,140,0.881875777714127,"7/12/13",933,138,0.869284716496655
60,250,0.929263316944544,"19/20/23",64,249,0.87232987928562
390,1010,0.911796908079022,"4/5/9",385,1018,0.875880284263608
890,450,0.910975954424184,"6/10/13",886,454,0.877951590008909
380,10,0.888012640577306,"4/5/5",384,5,0.880064706183184
180,450,0.914092482370522,"9/10/13",178,455,0.880570857707376
270,700,0.914089715023426,"12/14/21",268,704,0.883321880467738
700,1000,0.885274853028065,"6/9/16",701,1000,0.883910998079919
610,820,0.927977280199541,"7/10/16",614,815,0.885179446461577
70,840,0.899995192484156,"17/18/29",67,842,0.886192156687131
440,880,0.896778704756107,"7/9/15",438,883,0.887963080855047
500,550,0.89069051944303,"6/8/11",500,550,0.89069051944303
1140,820,0.902256519292332,"11/21/34",1138,822,0.892381503274418
250,500,0.908172127537649,"13/15/20",248,499,0.892660087121436
70,900,0.911377276547677,"17/18/30",68,900,0.898145647954771
70,960,0.929370106669843,"17/18/31",68,957,0.898554690164443
230,840,0.922740364401361,"7/8/13",236,838,0.898889175428376
200,880,0.931120728889131,"8/9/15",198,885,0.900480763524984
350,150,0.925878584792704,"9/11/12",348,148,0.902495696778367
70,1010,0.931301249718811,"17/18/32",69,1015,0.907717566834537
70,1120,0.91241166474822,"16/17/32",70,1119,0.911952148425118
1140,870,0.944766067656335,"11/21/35",1139,875,0.912354279749151
810,550,0.929244024079197,"5/8/11",813,550,0.913047881390545
160,650,0.953802318421191,"10/11/16",165,649,0.915048338173608
270,1200,0.922368867433996,"6/7/14",271,1198,0.920430417920108
80,1200,1.10721663655592,"16/17/34",69,1212,0.924990834249321
500,840,0.948296664163681,"6/8/13",496,841,0.926278621159364
10,880,0.927726193554694,"3/3/5",7,881,0.926680118403305
30,870,0.928986353767161,"3/3/5",27,871,0.927176147301904
160,380,0.989910494840837,"11/12/15",155,382,0.927708879219138
1050,290,0.936557986807241,"6/11/13",1047,293,0.928297558215931
70,550,0.967689394710284,"18/19/26",66,554,0.930279783877839
200,640,0.948262291758922,"8/9/13",203,637,0.934629399722351
970,1140,0.9562177464515,"8/14/27",969,1137,0.93995149891877
210,1150,0.984677617823112,"15/17/33",206,1148,0.940473024286674
700,1100,0.944076218659823,"6/9/17",701,1098,0.941183857021923
620,450,0.962913157661695,"7/10/13",615,453,0.943033818016723
60,160,0.981082541605607,"20/21/23",64,158,0.943041070597939
1050,650,0.951936521831244,"6/11/16",1052,646,0.94320421800198
170,850,0.975526250846531,"10/11/18",169,855,0.945911430825249
160,880,1.09023565151094,"11/12/20",169,855,0.945911430825249
1200,500,0.956729569868103,"3/6/8",1196,500,0.947284032312481
70,620,0.981157370893762,"18/19/27",66,621,0.94779247886229
1050,420,0.968691511271201,"6/11/14",1049,418,0.950108452099663
440,420,0.962392592335534,"14/18/23",437,422,0.950221948549235
890,1110,0.970524444603589,"6/10/19",887,1110,0.950224007856439
550,150,0.963613998363503,"8/11/12",552,150,0.956827427536241
650,610,1.01117774658587,"13/19/27",653,603,0.958884385799125
700,640,0.966415687560751,"6/9/13",702,638,0.959506460271704
180,920,0.980148037910328,"9/10/17",180,916,0.960870723145637
820,1090,0.985570147484089,"5/8/15",816,1087,0.963120582932979
960,10,0.9711093178901,"4/7/7",966,1,0.963287960870733
70,70,0.983494057231716,"20/21/22",68,68,0.964006046972687
