basefreq = 261.63
R = Inf
range = Inf

------------------------------------------------------------
Now computing dissonance for (symmetrical) class ID=1 :
S =

  0  1  2  3

 [0,1,2,3] 	D = 7.0728
 [0,11,13,14] 	D = 4.1405
 [0,2,13,15] 	D = 4.0216
 [0,1,11,14] 	D = 3.8768
 [0,10,11,13] 	D = 4.2612
 [0,11,22,25] 	D = 2.0902
 [0,1,3,14] 	D = 4.9340
 [0,11,14,25] 	D = 2.4903
 [0,2,3,13] 	D = 4.9818
 [0,1,2,11] 	D = 5.2078
 [0,10,13,23] 	D = 2.6295
 [0,11,13,22] 	D = 2.9692
 [0,3,13,14] 	D = 4.1725
 [0,2,11,13] 	D = 4.1420
 [0,3,14,25] 	D = 2.8175
 [0,2,13,23] 	D = 3.1666
 [0,1,10,11] 	D = 4.5201
 [0,1,11,22] 	D = 3.3984
 [0,9,10,11] 	D = 4.9111
 [0,10,21,23] 	D = 2.5626
 [0,9,11,22] 	D = 3.1430
 [0,10,11,21] 	D = 3.4898
 [0,11,21,22] 	D = 3.0453
 [0,11,22,33] 	D = 2.1289

min, max, mean, stdev:
  2.0902  7.0728  3.7572  1.1679

------------------------------------------------------------
Now computing dissonance for class ID=2 :
S =

  0  1  2  4

 [0,1,2,4] 	D = 6.2616
 [0,11,13,15] 	D = 3.3009
 [0,2,13,16] 	D = 3.3635
 [0,1,11,15] 	D = 3.3694
 [0,10,11,14] 	D = 3.5258
 [0,11,22,26] 	D = 1.8546
 [0,1,4,14] 	D = 4.1320
 [0,11,15,25] 	D = 1.9200
 [0,2,4,13] 	D = 4.3667
 [0,1,3,11] 	D = 4.6906
 [0,10,14,23] 	D = 2.1593
 [0,11,14,22] 	D = 2.4474
 [0,4,13,14] 	D = 3.5666
 [0,3,11,13] 	D = 3.6101
 [0,4,14,25] 	D = 2.3685
 [0,3,13,23] 	D = 2.7617
 [0,2,10,11] 	D = 4.2127
 [0,2,11,22] 	D = 3.2183
 [0,8,9,10] 	D = 4.6885
 [0,9,20,22] 	D = 2.5380
 [0,8,10,21] 	D = 3.0807
 [0,9,10,20] 	D = 3.3623
 [0,10,20,21] 	D = 3.0845
 [0,10,21,32] 	D = 2.0160

min, max, mean, stdev:
  1.8546  6.2616  3.3292  1.0429

Now computing dissonance for the inverse form:
S =

  0  2  3  4

 [0,2,3,4] 	D = 6.3131
 [0,10,13,14] 	D = 3.5054
 [0,3,14,16] 	D = 3.3556
 [0,1,10,14] 	D = 3.4452
 [0,9,11,13] 	D = 3.5420
 [0,11,21,25] 	D = 1.8057
 [0,2,4,15] 	D = 4.3504
 [0,10,14,25] 	D = 2.1155
 [0,3,4,14] 	D = 4.1811
 [0,1,2,10] 	D = 4.9377
 [0,9,13,23] 	D = 2.0853
 [0,11,13,21] 	D = 2.7883
 [0,4,14,15] 	D = 3.5532
 [0,2,10,13] 	D = 3.6683
 [0,4,15,26] 	D = 2.3197
 [0,2,13,22] 	D = 3.1444
 [0,1,9,11] 	D = 3.9684
 [0,1,11,21] 	D = 3.3038
 [0,8,10,11] 	D = 4.1745
 [0,10,20,23] 	D = 2.1919
 [0,8,11,22] 	D = 2.5588
 [0,10,11,20] 	D = 3.2671
 [0,11,20,22] 	D = 2.4484
 [0,11,22,32] 	D = 1.8690

min, max, mean, stdev:
  1.8057  6.3131  3.2872  1.0649

------------------------------------------------------------
Now computing dissonance for class ID=3 :
S =

  0  1  2  5

 [0,1,2,5] 	D = 5.4773
 [0,11,13,16] 	D = 2.7673
 [0,2,13,17] 	D = 3.1539
 [0,1,11,16] 	D = 3.0540
 [0,10,11,15] 	D = 3.1245
 [0,11,22,27] 	D = 1.7901
 [0,1,5,14] 	D = 3.5574
 [0,11,16,25] 	D = 1.6477
 [0,2,5,13] 	D = 3.8361
 [0,1,4,11] 	D = 3.9298
 [0,10,15,23] 	D = 1.9628
 [0,11,15,22] 	D = 2.0181
 [0,5,13,14] 	D = 3.2457
 [0,4,11,13] 	D = 3.0453
 [0,5,14,25] 	D = 2.1723
 [0,4,13,23] 	D = 2.0834
 [0,3,10,11] 	D = 3.7078
 [0,3,11,22] 	D = 2.5966
 [0,7,8,9] 	D = 4.4575
 [0,8,19,21] 	D = 2.3190
 [0,7,9,20] 	D = 2.9698
 [0,8,9,19] 	D = 2.9721
 [0,9,19,20] 	D = 2.8193
 [0,9,20,31] 	D = 1.9284

min, max, mean, stdev:
  1.64772  5.47732  2.94318  0.91805

Now computing dissonance for the inverse form:
S =

  0  3  4  5

 [0,3,4,5] 	D = 5.5153
 [0,9,13,14] 	D = 3.1322
 [0,4,15,17] 	D = 2.9857
 [0,1,9,14] 	D = 3.2395
 [0,8,11,13] 	D = 3.1182
 [0,11,20,25] 	D = 1.7874
 [0,3,5,16] 	D = 3.6929
 [0,9,14,25] 	D = 1.8468
 [0,4,5,15] 	D = 3.5848
 [0,1,2,9] 	D = 4.6607
 [0,8,13,23] 	D = 1.9178
 [0,11,13,20] 	D = 2.6823
 [0,5,15,16] 	D = 3.1005
 [0,2,9,13] 	D = 3.2238
 [0,5,16,27] 	D = 2.0484
 [0,2,13,21] 	D = 2.9247
 [0,1,8,11] 	D = 3.4787
 [0,1,11,20] 	D = 3.0318
 [0,7,10,11] 	D = 3.5023
 [0,10,19,23] 	D = 1.7114
 [0,7,11,22] 	D = 2.1388
 [0,10,11,19] 	D = 2.8992
 [0,11,19,22] 	D = 1.9264
 [0,11,22,31] 	D = 1.8573

min, max, mean, stdev:
  1.71141  5.51528  2.91694  0.93778

------------------------------------------------------------
Now computing dissonance for class ID=4 :
S =

  0  1  2  6

 [0,1,2,6] 	D = 5.0763
 [0,11,13,17] 	D = 2.7737
 [0,2,13,18] 	D = 3.1178
 [0,1,11,17] 	D = 3.1181
 [0,10,11,16] 	D = 3.0255
 [0,11,22,28] 	D = 1.8392
 [0,1,6,14] 	D = 3.4107
 [0,11,17,25] 	D = 1.8408
 [0,2,6,13] 	D = 3.4503
 [0,1,5,11] 	D = 3.6706
 [0,10,16,23] 	D = 1.8317
 [0,11,16,22] 	D = 1.9683
 [0,6,13,14] 	D = 3.1142
 [0,5,11,13] 	D = 3.0398
 [0,6,14,25] 	D = 1.9332
 [0,5,13,23] 	D = 2.1982
 [0,4,10,11] 	D = 3.4655
 [0,4,11,22] 	D = 2.4781
 [0,6,7,8] 	D = 4.5671
 [0,7,18,20] 	D = 2.6595
 [0,6,8,19] 	D = 2.9458
 [0,7,8,18] 	D = 3.1824
 [0,8,18,19] 	D = 2.8993
 [0,8,19,30] 	D = 1.7689

min, max, mean, stdev:
  1.76888  5.07634  2.89064  0.84606

Now computing dissonance for the inverse form:
S =

  0  4  5  6

 [0,4,5,6] 	D = 5.0638
 [0,8,13,14] 	D = 3.1398
 [0,5,16,18] 	D = 2.7873
 [0,1,8,14] 	D = 3.1812
 [0,7,11,13] 	D = 2.8748
 [0,11,19,25] 	D = 1.6266
 [0,4,6,17] 	D = 3.4745
 [0,8,14,25] 	D = 2.0000
 [0,5,6,16] 	D = 3.2994
 [0,1,2,8] 	D = 4.7115
 [0,7,13,23] 	D = 1.7902
 [0,11,13,19] 	D = 2.5664
 [0,6,16,17] 	D = 3.0499
 [0,2,8,13] 	D = 3.3406
 [0,6,17,28] 	D = 2.0200
 [0,2,13,20] 	D = 3.2346
 [0,1,7,11] 	D = 3.3538
 [0,1,11,19] 	D = 3.0915
 [0,6,10,11] 	D = 3.4295
 [0,10,18,23] 	D = 2.0307
 [0,6,11,22] 	D = 2.1867
 [0,10,11,18] 	D = 3.1296
 [0,11,18,22] 	D = 2.0394
 [0,11,22,30] 	D = 1.7835

min, max, mean, stdev:
  1.62659  5.06382  2.88355  0.86732

------------------------------------------------------------
Now computing dissonance for (symmetrical) class ID=5 :
S =

  0  1  2  7

 [0,1,2,7] 	D = 4.7009
 [0,11,13,18] 	D = 2.6457
 [0,2,13,19] 	D = 2.9216
 [0,1,11,18] 	D = 3.1317
 [0,10,11,17] 	D = 2.9973
 [0,11,22,29] 	D = 1.9313
 [0,1,7,14] 	D = 3.0463
 [0,11,18,25] 	D = 1.6734
 [0,2,7,13] 	D = 3.2114
 [0,1,6,11] 	D = 3.4112
 [0,10,17,23] 	D = 1.8465
 [0,11,17,22] 	D = 1.9962
 [0,7,13,14] 	D = 2.8863
 [0,6,11,13] 	D = 2.7956
 [0,7,14,25] 	D = 1.8190
 [0,6,13,23] 	D = 1.8765
 [0,5,10,11] 	D = 3.3561
 [0,5,11,22] 	D = 2.2887
 [0,5,6,7] 	D = 4.6236
 [0,6,17,19] 	D = 2.4711
 [0,5,7,18] 	D = 3.1289
 [0,6,7,17] 	D = 3.1183
 [0,7,17,18] 	D = 2.9634
 [0,7,18,29] 	D = 1.9648

min, max, mean, stdev:
  1.67344  4.70092  2.78358  0.80049

------------------------------------------------------------
Now computing dissonance for (symmetrical) class ID=6 :
S =

  0  1  3  4

 [0,1,3,4] 	D = 5.9792
 [0,11,14,15] 	D = 3.2802
 [0,3,13,16] 	D = 3.0547
 [0,2,11,15] 	D = 3.2787
 [0,9,10,13] 	D = 3.5084
 [0,10,21,25] 	D = 1.8504
 [0,1,4,15] 	D = 4.0055
 [0,11,15,26] 	D = 2.0230
 [0,3,4,13] 	D = 4.0696
 [0,2,3,11] 	D = 4.5889
 [0,9,13,22] 	D = 2.2108
 [0,10,13,21] 	D = 2.5727
 [0,4,13,15] 	D = 3.1079
 [0,3,11,14] 	D = 3.2556
 [0,4,15,25] 	D = 2.1792
 [0,3,14,23] 	D = 2.6725
 [0,1,9,10] 	D = 4.1384
 [0,1,10,21] 	D = 3.2917
 [0,8,9,11] 	D = 4.0372
 [0,9,20,23] 	D = 2.0716
 [0,8,11,21] 	D = 2.6114
 [0,9,11,20] 	D = 2.9718
 [0,11,20,21] 	D = 2.8759
 [0,11,21,32] 	D = 1.9223

min, max, mean, stdev:
  1.85039  5.97924  3.14823  0.97875

------------------------------------------------------------
Now computing dissonance for class ID=7 :
S =

  0  1  3  5

 [0,1,3,5] 	D = 5.2596
 [0,11,14,16] 	D = 2.5040
 [0,3,13,17] 	D = 2.7117
 [0,2,11,16] 	D = 2.8436
 [0,9,10,14] 	D = 2.9951
 [0,10,21,26] 	D = 1.6282
 [0,1,5,15] 	D = 3.3196
 [0,11,16,26] 	D = 1.5354
 [0,3,5,13] 	D = 3.6037
 [0,2,4,11] 	D = 3.9168
 [0,9,14,22] 	D = 1.9111
 [0,10,14,21] 	D = 2.0359
 [0,5,13,15] 	D = 2.6756
 [0,4,11,14] 	D = 2.5927
 [0,5,15,25] 	D = 1.8716
 [0,4,14,23] 	D = 1.8959
 [0,2,9,10] 	D = 3.7722
 [0,2,10,21] 	D = 2.8054
 [0,7,8,10] 	D = 3.7767
 [0,8,19,22] 	D = 1.7215
 [0,7,10,20] 	D = 2.4470
 [0,8,10,19] 	D = 2.5475
 [0,10,19,20] 	D = 2.5527
 [0,10,20,31] 	D = 1.7834

min, max, mean, stdev:
  1.53544  5.25961  2.69612  0.89729

Now computing dissonance for the inverse form:
S =

  0  2  4  5

 [0,2,4,5] 	D = 5.2848
 [0,10,14,15] 	D = 2.8645
 [0,4,14,17] 	D = 2.5887
 [0,2,10,15] 	D = 3.0245
 [0,8,10,13] 	D = 2.9847
 [0,10,20,25] 	D = 1.6535
 [0,2,5,16] 	D = 3.4741
 [0,10,15,26] 	D = 1.7056
 [0,4,5,14] 	D = 3.3717
 [0,2,3,10] 	D = 4.2588
 [0,8,13,22] 	D = 1.8396
 [0,10,13,20] 	D = 2.2881
 [0,5,14,16] 	D = 2.5456
 [0,3,10,14] 	D = 2.7641
 [0,5,16,26] 	D = 1.7527
 [0,3,14,22] 	D = 2.3370
 [0,1,8,10] 	D = 3.5487
 [0,1,10,20] 	D = 2.8410
 [0,7,9,11] 	D = 3.2940
 [0,9,19,23] 	D = 1.4220
 [0,7,11,21] 	D = 1.9975
 [0,9,11,19] 	D = 2.4348
 [0,11,19,21] 	D = 1.9682
 [0,11,21,31] 	D = 1.6732

min, max, mean, stdev:
  1.42200  5.28475  2.66322  0.91570

------------------------------------------------------------
Now computing dissonance for class ID=8 :
S =

  0  1  3  6

 [0,1,3,6] 	D = 4.7443
 [0,11,14,17] 	D = 2.3188
 [0,3,13,18] 	D = 2.6396
 [0,2,11,17] 	D = 2.8714
 [0,9,10,15] 	D = 2.8450
 [0,10,21,27] 	D = 1.8011
 [0,1,6,15] 	D = 3.0263
 [0,11,17,26] 	D = 1.6076
 [0,3,6,13] 	D = 3.1036
 [0,2,5,11] 	D = 3.5553
 [0,9,15,22] 	D = 1.7331
 [0,10,15,21] 	D = 1.9420
 [0,6,13,15] 	D = 2.3976
 [0,5,11,14] 	D = 2.4410
 [0,6,15,25] 	D = 1.4860
 [0,5,14,23] 	D = 1.8646
 [0,3,9,10] 	D = 3.4528
 [0,3,10,21] 	D = 2.6130
 [0,6,7,9] 	D = 3.7810
 [0,7,18,21] 	D = 1.9622
 [0,6,9,19] 	D = 2.2932
 [0,7,9,18] 	D = 2.6463
 [0,9,18,19] 	D = 2.4967
 [0,9,19,30] 	D = 1.4945

min, max, mean, stdev:
  1.48596  4.74433  2.54654  0.79689

Now computing dissonance for the inverse form:
S =

  0  3  5  6

 [0,3,5,6] 	D = 4.7149
 [0,9,14,15] 	D = 2.7452
 [0,5,15,18] 	D = 2.3497
 [0,2,9,15] 	D = 2.8339
 [0,7,10,13] 	D = 2.5766
 [0,10,19,25] 	D = 1.3523
 [0,3,6,17] 	D = 3.1606
 [0,9,15,26] 	D = 1.7222
 [0,5,6,15] 	D = 3.0401
 [0,2,3,9] 	D = 4.1685
 [0,7,13,22] 	D = 1.6836
 [0,10,13,19] 	D = 2.0319
 [0,6,15,17] 	D = 2.4414
 [0,3,9,14] 	D = 2.7450
 [0,6,17,27] 	D = 1.8422
 [0,3,14,21] 	D = 2.5494
 [0,1,7,10] 	D = 3.2592
 [0,1,10,19] 	D = 2.7605
 [0,6,9,11] 	D = 3.0649
 [0,9,18,23] 	D = 1.5988
 [0,6,11,21] 	D = 2.0150
 [0,9,11,18] 	D = 2.5226
 [0,11,18,21] 	D = 1.8957
 [0,11,21,30] 	D = 1.4978

min, max, mean, stdev:
  1.35234  4.71493  2.52383  0.81538

------------------------------------------------------------
Now computing dissonance for class ID=9 :
S =

  0  1  3  7

