 v___2_n__3_class_1_class_2_ chimes.scl | Heavenly Chimes
 v___2_n__4_class_1_class_3_ efg555.scl | Genus quartum [555]
 v___2_n__4_class_1_class_3_ efg777.scl | Genus decimum [777]
 v___2_n__5_class_1_class_4_ 05-19.scl | 5 out of 19-tET
 v___2_n__5_class_1_class_4_ hexany18.scl | 1.7.49.343 Hexany, a degenerate pentatonic form
 v___2_n__5_class_1_class_4_ quasi_5.scl | Quasi-Equal 5-Tone in 24-tET, 5 5 4 5 5 steps
 v___2_n__5_class_1_class_4_ slendro_pa.scl | "Blown fifth" primitive slendro, von Hornbostel
 v___2_n__5_class_1_class_4_ slendro_pc.scl | "Blown fifth" modern slendro, von Hornbostel
 v___2_n__5_class_2_class_3_ 05-24.scl | 5 out of 24-tET, symmetrical
 v___2_n__5_class_2_class_3_ chin_5.scl | Chinese pentatonic from Zhou period
 v___2_n__5_class_2_class_3_ hexany16.scl | 1.3.9.27 Hexany, a degenerate pentatonic form
 v___2_n__5_class_2_class_3_ hexany22.scl | 1.11.121.1331 Hexany, a degenerate pentatonic form
 v___2_n__5_class_2_class_3_ slendro_pb.scl | "Blown fifth" medium slendro, von Hornbostel
 v___2_n__5_class_2_class_3_ slendro_wolf.scl | Daniel Wolf's slendro. Tuning List 30 5 1997
 v___2_n__5_class_2_class_3_ slendro13.scl | 13-tET quasi slendro, Blackwood
 v___2_n__5_class_2_class_3_ sur_y.scl | Surupan tone-gender Y (= mode on pamiring)
 v___2_n__6_class_1_class_5_ efg77777.scl | Genus [77777]
 v___2_n__6_class_1_class_5_ yasser_6.scl | Yasser Hexad, 6 of 19 as whole tone scale
 v___2_n__7_class_1_class_6_ diat_eq.scl | Equal Diatonic, Islamic form, similar to 11/10 x 11/10 x 400/363
 v___2_n__7_class_2_class_5_ breed4-3.scl | Graham Breed's neutral third chain subset of 7+3 scale in 24-tET
 v___2_n__7_class_2_class_5_ cet88bis.scl | Bistep approximation of 2212121 mode in 7/4 to 11/9 9/7 10/7 3/2
 v___2_n__7_class_2_class_5_ moha_baya.scl | Mohajira + Bayati (Dudon) 3 + 4 + 3 Mohajira and 3 + 3 + 4 Bayati tetrachords
 v___2_n__7_class_2_class_5_ mohajira.scl | Mohajira (Dudon) Two 3 + 4 + 3 Mohajira tetrachords, neutral diatonic
 v___2_n__7_class_2_class_5_ rast_moha.scl | Rast + Mohajira (Dudon) 4 + 3 + 3 Rast and 3 + 4 + 3 Mohajira tetrachords
 v___2_n__7_class_2_class_5_ silver_7.scl | Seven-tone MOS from 1+sqr(2), 1525.864 cents
 v___2_n__7_class_3_class_4_ 07-19.scl | 7 out of 19-tET, major
 v___2_n__7_class_3_class_4_ aeolic.scl | Ancient Greek Aeolic, also tritriadic scale of the 54:64:81 triad
 v___2_n__7_class_3_class_4_ arist_diat.scl | Phrygian octave species on E, 12 + 6 + 12 parts
 v___2_n__7_class_3_class_4_ arist_diatinv.scl | Lydian octave species on E, Major Mode, 12 + 12 + 6 parts
 v___2_n__7_class_3_class_4_ arist_syndiat.scl | Aristoxenos's Diatonon Syntonon, Dorian Mode
 v___2_n__7_class_3_class_4_ chin_7.scl | Chinese heptatonic scale and tritriadic of 64:81:96 triad
 v___2_n__7_class_3_class_4_ diat_gold.scl | Diatonic scale with ratio between whole and half tone the Golden Section
 v___2_n__7_class_3_class_4_ eratos_diat.scl | Dorian mode of Eratosthenes's Diatonic, Pythagorean
 v___2_n__7_class_3_class_4_ iran_diat.scl | Iranian Diatonic from Dariush Anooshfar, Safi-a-ddin Armavi's scale from 125 ET
 v___2_n__7_class_3_class_4_ ives.scl | Charles Ives' stretched major scale, "Scrapbook" pp. 108-110
 v___2_n__7_class_3_class_4_ ives2a.scl | Speculation by Joe Monzo for Ives' other stretched scale
 v___2_n__7_class_3_class_4_ ives2b.scl | Alt. speculation by Joe Monzo for Ives' other stretched scale
 v___2_n__7_class_3_class_4_ lucy_7.scl | Diatonic Lucy's scale
 v___2_n__7_class_3_class_4_ mean14_7.scl | Least squares appr. of 5L+2S to Ptolemy's Intense Diatonic scale
 v___2_n__7_class_3_class_4_ pelog_pa2.scl | New mixed gender Pelog
 v___2_n__7_class_3_class_4_ pelog_pa.scl | "Blown fifth" pelog, von Hornbostel, type a.
 v___2_n__7_class_3_class_4_ pelog9.scl | 9-tET Pelog
 v___2_n__7_class_3_class_4_ syntonolydian.scl | Greek Syntonolydian, also genus duplicatum medium, or ditonum (Al-Farabi)
 v___2_n__8_class_3_class_5_ 08-11.scl | 8 out of 11-tET
 v___2_n__8_class_3_class_5_ 08-13.scl | 8 out of 13-tET
 v___2_n__8_class_3_class_5_ 08-19.scl | 8 out of 19-tET
 v___2_n__8_class_3_class_5_ rapoport_8.scl | Paul Rapoport, cycle of 14/9 close to 8 out of 11-tET, XH 13, 1991
 v___2_n__9_class_1_class_8_ 09-19.scl | 9 out of 19-tET
 v___2_n__9_class_1_class_8_ quasi_9.scl | Quasi-Equal Enneatonic, Each "tetrachord" has 125 + 125 + 125 + 125 cents
 v___2_n__9_class_2_class_7_ 09-23.scl | 9 out of 23-tET, Dan Stearns
 v___2_n__9_class_2_class_7_ bohlen_harm.scl | Bohlen's harmonic scale, inverse of lambda
 v___2_n__9_class_2_class_7_ bohlen_lambda.scl | Bohlen's lambda scale, a mode of the Bohlen-Pierce scale
 v___2_n__9_class_2_class_7_ bohlen-p_9.scl | Bohlen-Pierce subscale by J.R. Pierce with 3:5:7 triads
 v___2_n__9_class_2_class_7_ bohlen_delta.scl | Bohlen's delta scale, a mode B-P, see Acustica 39: 76-86 (1978)
 v___2_n__9_class_2_class_7_ pelog_str.scl | JI Pelog with stretched 2/1 and extra tones between 2-3, 6-7. Wolf, XH 11, '87
 v___2_n__9_class_2_class_7_ silver_9.scl | Nine-tone MOS from 280.61 cents
 v___2_n__9_class_2_class_7_ sur_9.scl | Theoretical nine-tone surupan gamut
 v___2_n_10_class_1_class_9_ 10-19.scl | 10 out of 19-tET. For 9 out of 19 discard degree 3
 v___2_n_10_class_1_class_9_ 10-29.scl | 10 out of 29-tET, chain of 124.138 cents intervals, Keenan
 v___2_n_10_class_1_class_9_ lumma_10.scl | Carl Lumma's 10-tone 125 cent Pyth. scale, TL 29-12-1999
 v___2_n_10_class_3_class_7_ 10-13.scl | Carl Lumma, 10 out of 13-tET MOS, TL 21-12-1999
 v___2_n_10_class_3_class_7_ golden_10.scl | Golden version of Rapoport's Major 10 out of 13
 v___2_n_10_class_3_class_7_ phi_10.scl | Pythagorean scale with Phi as fifth
 v___2_n_11_class_1_class10_ 11-23.scl | 11 out of 23-tET, Dan Stearns
 v___2_n_11_class_2_class_9_ vries6-31.scl | Leo de Vries 6/31 TTT used in "For 31-tone organ" (1995)
 v___2_n_11_class_3_class_8_ keenan3eb.scl | Chain of 11 equal beating minor thirds, 6/5=3/2 same
 v___2_n_11_class_3_class_8_ keenan3eb2.scl | Chain of 11 equal beating minor thirds, 6/5=3/2 opposite
 v___2_n_11_class_3_class_8_ keenan3.scl | Chain of 1/6 kleisma tempered 6/5s, 10 tetrads, Dave Keenan, 30-Jun-99, TD235
 v___2_n_11_class_3_class_8_ keenan3j.scl | Chain of 11 nearly just 19-tET minor thirds, Dave Keenan, 1-Jul-99
 v___2_n_11_class_3_class_8_ mos11-34.scl | Wilson 11 of 34-tET, G=9, Chain of minor & major thirds with Kleismatic fusion
 v___2_n_11_class_3_class_8_ silver_11.scl | Eleven-tone MOS from 1+sqr(2), 1525.864 cents
 v___2_n_11_class_3_class_8_ silver_11a.scl | Eleven-tone MOS from 317.17 cents
 v___2_n_11_class_4_class_7_ 11-19.scl | 11 out of 19-tET
 v___2_n_12_class_1_class11_ cet99.scl | Scale with 18/17 steps
 v___2_n_12_class_5_class_7_ 12-19.scl | 12 out of 19-tET scale from Mandelbaum's dissertation
 v___2_n_12_class_5_class_7_ 12-22a.scl | 12 out of 22-tET, Pythagorean. Paul Erlich, TL 4-4-2000
 v___2_n_12_class_5_class_7_ 12-31.scl | 12 out of 31-tET, meantone Eb-G#
 v___2_n_12_class_5_class_7_ 12-43.scl | 12 out of 43-tET (1/5-comma meantone)
 v___2_n_12_class_5_class_7_ 12-50.scl | 12 out of 50-tET, meantone Eb-G#
 v___2_n_12_class_5_class_7_ 12-91.scl | 12 out of 91-tET (1/7-comma meantone)
 v___2_n_12_class_5_class_7_ breed.scl | Graham Breed's fourth based 12-tone keyboard scale. Tuning List 23-10-97
 v___2_n_12_class_5_class_7_ chin_lu2.scl | Chinese Lu" (Lushi chunqiu, by Lu Buwei). Mingyue: Music of the billion, p.67
 v___2_n_12_class_5_class_7_ chin_lu4.scl | Chinese Lu" "749-Temperament"
 v___2_n_12_class_5_class_7_ hahn_g.scl | fourth of sqrt(2)-1 octave "recursive" meantone, Paul Hahn
