"Lower(old)","Upper(old)","THE(old)","JIT(old)","Lower(new)","Upper(new)","THE(new)"
60,1090,2.48997926723695,"16/17/31",58,1092,2.55376097619157
140,50,2.44325724333303,"10/11/11",148,53,2.52206896312967
150,1090,2.43920483035704,"13/14/26",147,1093,2.44872143347966
150,1160,2.4030434724467,"11/12/23",141,1163,2.44202951364043
50,130,2.40029023215908,"11/11/12",54,138,2.53038587517489
50,50,2.39143303070873,"21/21/22",56,56,2.65636795351497
1090,770,2.31601160606728,"8/15/23",1088,775,2.45074202099629
50,220,2.31011750538077,"7/7/8",53,224,2.41115170416753
120,1170,2.29752948954063,"16/17/34",139,1164,2.44109532215518
50,440,2.29664043004723,"18/19/24",50,443,2.30583403701046
1050,110,2.28858710746587,"7/13/14",1044,114,2.32666354614761
100,40,2.28549311461551,"14/15/15",90,43,2.32259254744782
40,90,2.27667987124013,"15/15/16",46,82,2.36388355698357
1080,710,2.2579139722127,"7/13/20",1081,708,2.30242038466274
120,1110,2.25660780316443,"16/17/32",140,1098,2.44541605717161
1160,150,2.25609740345117,"6/12/13",1157,155,2.33792203455796
1050,40,2.24516622720059,"7/13/13",1046,43,2.32507444070828
50,730,2.23513120791987,"11/11/17",51,728,2.25058358388448
230,50,2.23501224360561,"16/18/19",234,49,2.27565429003726
1160,640,2.23090296369846,"7/14/20",1156,636,2.34279621206832
740,40,2.22634898691138,"9/14/14",739,41,2.23562496655879
50,380,2.21921500672659,"4/4/5",51,382,2.24748836284565
50,610,2.2174416937742,"9/9/13",52,605,2.25406145492864
50,510,2.20149990244384,"18/19/25",50,513,2.20442417443101
50,530,2.19985619126276,"8/8/11",52,534,2.25732844013343
970,190,2.19789022976994,"12/21/23",974,187,2.22324450734658
1090,150,2.19376129741697,"7/13/14",1082,161,2.28196416380303
50,310,2.17461720188879,"5/5/6",52,306,2.23354923846573
1120,40,2.17436110713044,"13/25/25",1112,44,2.31746170523384
1160,90,2.17415308510085,"12/24/25",1154,91,2.38877243748973
10,1120,2.173416121912,"11/11/21",14,1116,2.17524421297873
130,1040,2.16796577513531,"11/12/22",136,1033,2.17648697250127
980,40,2.15739753603018,"9/16/16",975,43,2.23604552792987
180,1150,2.15281615424653,"9/10/19",171,1156,2.32633392271855
1010,230,2.14932338534026,"11/20/23",1011,229,2.14962735012268
10,100,2.14272480599694,"16/16/17",12,98,2.14326744534069
1150,790,2.13791812751414,"12/23/36",1153,793,2.37993945983628
50,770,2.13594417494917,"7/7/11",52,773,2.15864344446929
50,890,2.12857918622931,"10/10/17",54,882,2.24479506867222
50,1010,2.11796090206498,"6/6/11",56,989,2.31564091030729
670,440,2.11657637399494,"11/16/21",670,439,2.11888635456635
620,40,2.11058431544536,"9/13/13",618,44,2.20242704217211
420,40,2.105723799102,"7/9/9",413,44,2.21771205748782
1160,210,2.10227119616203,"4/8/9",1158,215,2.12200174195495
50,820,2.09883597739421,"8/8/13",55,814,2.28947785854885
180,980,2.094955307447,"8/9/16",178,981,2.11442556831782
1160,680,2.09461815984477,"12/23/34",1159,684,2.17348500250365
730,790,2.07957779564873,"8/12/19",733,790,2.12684553118682
60,1040,2.07790405444941,"17/18/32",56,1045,2.33925025678703
50,970,2.077353507899,"9/9/16",56,989,2.31564091030729
670,120,2.07691758241041,"10/15/16",671,115,2.09623309252095
400,40,2.07023063311121,"11/14/14",413,44,2.21771205748782
110,0,2.06925498375234,"15/16/16",93,42,2.32043907614766
330,50,2.06659191334649,"16/19/20",332,47,2.17688480659713
770,890,2.06502615486065,"13/20/34",776,887,2.12631520195054
1160,1160,2.06386798843776,"7/14/27",1155,1160,2.26067519056581
670,570,2.05651814289932,"14/21/29",665,573,2.1269949060385
1160,460,2.05590531224158,"7/14/18",1157,468,2.12467647400447
820,340,2.0546364485459,"12/19/23",825,337,2.09381141736623
670,810,2.05250690794168,"8/12/19",671,810,2.05604853241983
50,640,2.05129858589948,"18/19/27",50,646,2.08797321587916
510,40,2.0511065901401,"11/15/15",508,44,2.15337542247294
1090,80,2.05100456864352,"9/17/18",1044,114,2.32666354614761
60,990,2.05069672057743,"16/17/30",56,989,2.31564091030729
450,40,2.04740540964891,"18/23/24",447,39,2.05561363240887
230,1060,2.04694665490358,"7/8/15",241,1052,2.09193230313958
740,560,2.04517338799111,"9/14/19",736,560,2.10834889776867
1150,1120,2.04489264402096,"11/21/40",1154,1118,2.20117847957931
120,160,2.04244210850834,"17/18/20",116,154,2.06176166408398
640,940,2.04120237444365,"14/20/35",639,940,2.04282513502962
130,970,2.04098047738695,"11/12/21",126,976,2.04661176256461
1160,360,2.03945231073357,"7/14/17",1157,360,2.08958231140147
800,440,2.03898535812918,"13/21/27",796,442,2.07261583223299
1160,1030,2.03502801319953,"5/10/18",1155,1030,2.1977645996126
590,40,2.03399066177034,"7/10/10",587,43,2.0889735900038
740,420,2.03358488255509,"13/20/25",740,421,2.03397728043419
1160,1090,2.0311631245767,"7/14/26",1154,1078,2.09994239939087
920,40,2.02957691439765,"7/12/12",921,41,2.03364599143653
1070,870,2.02595231659167,"8/15/25",1071,866,2.07068095340392
880,360,2.02294383462175,"12/20/25",875,362,2.10603507876349
860,790,2.01749563029929,"12/20/31",857,793,2.05155426599721
780,1090,2.0164451954905,"11/17/32",780,1091,2.01990806455713
650,510,2.01331723133255,"15/22/29",650,514,2.12099836042523
1090,30,2.01261845664871,"9/17/17",1046,43,2.32507444070828
120,990,2.01194793520939,"12/13/23",126,976,2.04661176256461
620,110,2.01162405662037,"12/17/18",614,119,2.03309592029215
670,1170,2.00975756202871,"13/19/37",670,1168,2.01981275924189
