"Lower","Upper","Triadic HE","ct","pmax","triad"
20,0,0.000149714024006852,1,0.999988969550326,"1/1/1"
1200,0,0.000255492239650842,1,0.999981956869719,"1/2/2"
0,20,0.000395977819527349,1,0.999967627200218,"1/1/1"
0,1200,0.00350453982012953,1,0.999673883355706,"1/1/2"
20,1190,0.00351144822284719,1,0.999673453908455,"1/1/2"
1200,700,0.00417479183370909,1,0.999592103636999,"1/2/3"
1200,1200,0.0305853130389919,1,0.996239373092368,"1/2/4"
700,1200,0.0520466984694124,1,0.993445184538632,"2/3/6"
710,500,0.0587619881411213,1,0.992124666931882,"2/3/4"
700,0,0.0840224343155381,1,0.987662853064431,"2/3/3"
700,890,0.087075746658389,1,0.987296383816095,"2/3/5"
690,20,0.0938655112019304,1,0.986515848587621,"2/3/3"
500,390,0.128566808486498,1,0.980715642065903,"3/4/5"
0,700,0.174578506719468,2,0.971982323217882,"2/2/3"
20,690,0.174711970690132,2,0.971972417210496,"2/2/3"
500,1200,0.201252709739337,3,0.96661417310391,"3/4/8"
880,580,0.222549963886526,2,0.961767666269955,"3/5/7"
390,580,0.248525587375163,2,0.955638707045713,"4/5/7"
1190,390,0.268833647078102,3,0.95035105522289,"2/4/5"
490,700,0.270990700305199,3,0.948549491292001,"3/4/6"
890,1020,0.306370034502743,3,0.942812235711276,"3/5/9"
390,310,0.335167768693355,3,0.93450553607921,"4/5/6"
890,1200,0.373553449298984,3,0.92571796262035,"3/5/10"
700,270,0.37993479498344,3,0.929138918349575,"4/6/7"
700,1050,0.4323826420628,3,0.909562552565424,"4/6/11"
960,440,0.454889270774171,4,0.908018305121361,"4/7/9"
500,960,0.45593878139142,4,0.902878427776031,"3/4/7"
890,810,0.457476431406915,4,0.895198953382278,"3/5/8"
390,1200,0.458891977831669,3,0.896157017005392,"4/5/10"
320,500,0.461808282578484,5,0.911582391294041,"5/6/8"
580,230,0.469692234691696,4,0.902962895203333,"5/7/8"
970,1070,0.538824843702829,5,0.890963653192624,"4/7/13"
490,10,0.5388967283446,5,0.885050225490027,"3/4/4"
320,700,0.543419200312283,3,0.878794954951691,"5/6/9"
580,440,0.564338209943634,3,0.859715032087717,"5/7/9"
880,10,0.568019618217706,5,0.873088310433036,"3/5/5"
700,700,0.573522384591102,4,0.871925532789674,"4/6/9"
310,270,0.574186633702662,4,0.870907211073381,"5/6/7"
880,310,0.579283367779878,5,0.871680798836645,"3/5/6"
820,200,0.58234743705515,5,0.870249686168568,"5/8/9"
260,440,0.604821612869997,5,0.868959906505597,"6/7/9"
580,780,0.628889233109581,6,0.863528049700954,"5/7/11"
500,200,0.646764923063157,5,0.855394500420377,"6/8/9"
380,810,0.660227663834631,5,0.841984669395745,"4/5/8"
270,780,0.660782163285627,4,0.847020901137516,"6/7/11"
0,500,0.680750495727438,6,0.852970111334346,"3/3/4"
20,490,0.681503982516651,6,0.852907639255984,"3/3/4"
260,230,0.685867278686267,3,0.802742594044272,"6/7/8"
970,620,0.695964975891457,4,0.823221312496003,"4/7/10"
970,930,0.697175166448318,4,0.817527763893972,"4/7/12"
1190,270,0.729143223754789,5,0.817402179338638,"3/6/7"
970,1200,0.729859332109285,4,0.812160067497457,"4/7/14"
260,620,0.730494547338667,5,0.829765347853385,"6/7/10"
1020,350,0.73453247611252,6,0.834783473815553,"5/9/11"
700,180,0.735117810753303,5,0.811159755736504,"6/9/10"
430,190,0.735834678279159,7,0.844275292420414,"7/9/10"
500,1090,0.741976797561015,5,0.838092929569102,"6/8/15"
440,630,0.744644517981066,5,0.820611555256065,"7/9/13"
590,1070,0.748886686028135,4,0.819859982531377,"5/7/13"
810,970,0.76736683656421,5,0.819179320428289,"5/8/14"
230,390,0.778927000993282,6,0.824030914134177,"7/8/10"
810,700,0.786457897151204,5,0.804054724979939,"5/8/12"
880,170,0.787213113825824,4,0.779581115050149,"6/10/11"
1200,970,0.789723784730277,6,0.817617073512007,"2/4/7"
1050,540,0.789950824468992,7,0.820680287503611,"6/11/15"
780,290,0.790479396428099,6,0.813816303192295,"7/11/13"
1180,980,0.793245377179632,6,0.817294568667525,"2/4/7"
230,550,0.794891149903493,4,0.803200312370549,"7/8/11"
